geneName,zy,zy,zy,zy,early2cell,early2cell,early2cell,early2cell,early2cell,early2cell,early2cell,early2cell,mid2cell,16cell
gene5258,0.031196,0.058850,0.037378,0.000000,0.000000,0.064770,0.000000,0.058299,0.057974,0.000000,0.000000,0.000000,0.114506,0.000000
gene5259,0.595578,3.056660,5.226080,1.055682,0.216849,8.264430,0.341317,2.131879,9.733350,7.834304,8.622495,10.549399,20.160644,0.000000
gene5260,69.032810,39.594402,46.045867,41.869294,25.286050,37.608428,23.514415,21.667198,62.234353,42.606076,31.945995,48.648168,0.433144,0.000000
gene5261,13.419063,7.674496,4.401524,9.601394,5.293043,6.664240,7.756019,2.189568,3.140712,3.551106,3.131179,4.883001,12.856763,0.000000
gene5262,9.990044,2.955927,5.958420,7.954893,2.823107,5.931174,1.624511,9.516770,6.644074,3.184333,4.079277,0.843267,0.521026,0.000000
gene5263,0.839699,2.680700,1.350848,3.680386,1.199420,1.867272,1.887863,6.405333,1.855107,1.496494,2.088185,0.023481,2.833252,0.000000
gene5264,4.183595,4.447578,4.994041,3.494937,4.720213,3.022095,2.823093,3.734811,5.185501,3.528771,3.805025,6.724709,3.487376,0.000000
gene5265,0.078683,0.593724,0.394777,0.474190,0.000000,0.000000,0.000000,0.000000,0.000000,0.132255,0.069162,1.678027,0.108843,0.000000
gene5266,0.000000,0.000000,0.000000,0.000000,0.000000,0.124233,0.000000,0.335468,0.000000,0.015885,0.000000,0.578668,0.000000,0.000000
gene5267,3.417918,2.780371,1.285631,0.000000,1.697696,0.000000,0.528555,0.013586,0.000000,0.424596,0.932562,0.000000,0.000000,0.000000
gene5268,5.773128,0.856573,3.458589,0.055846,0.000000,0.210309,2.001212,0.000000,5.665681,0.955330,0.325814,2.766755,0.000000,0.000000
gene5269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5271,27.393502,1.339947,11.240419,6.230666,10.286282,4.563750,29.160144,1.389419,8.069464,23.513735,21.487116,13.218980,17.204250,0.000000
gene5272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5273,10.396823,12.489835,13.901578,8.599611,26.471278,12.103868,15.331688,7.774916,27.600088,17.065347,17.235991,21.568257,28.977186,0.000000
gene5274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5275,4.624347,3.709246,2.312280,3.573762,1.464975,0.000000,3.902194,0.000000,3.518707,6.714962,3.218903,4.368062,0.000000,0.108611
gene5276,3.006439,0.893463,2.713986,5.886013,0.509829,0.206243,0.267487,0.000000,0.000000,0.000000,0.000000,0.000000,0.546921,0.000000
gene5277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5282,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5285,0.411369,1.164090,0.000000,0.708394,0.000000,1.030045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5286,4.122243,6.020203,5.255811,3.627129,3.918881,4.306458,5.850901,8.694909,7.792615,3.073100,2.552005,2.708799,1.606484,0.023577
gene5287,0.270881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5288,0.181091,0.000000,0.000000,1.247370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.307670
gene5289,0.000000,0.000000,0.000000,0.278531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.675000
gene5290,0.000000,0.654763,1.663400,1.195310,0.000000,0.000000,0.000000,1.564499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5291,0.000000,0.000000,0.000000,0.000000,8.417313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.760570
gene5296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5297,0.254632,0.092375,0.023469,0.067454,0.000000,0.000000,0.063608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059473
gene5298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5301,0.520617,0.000000,0.000000,0.896493,0.000000,0.000000,0.000000,0.000000,0.967460,0.000000,0.000000,0.000000,0.000000,6.974208
gene5302,0.000000,1.065385,1.353284,2.917433,0.000000,1.414070,0.000000,6.364137,0.000000,0.000000,0.000000,0.000000,2.499933,0.000000
gene5303,0.252425,0.476201,0.604881,1.738696,0.000000,0.000000,0.000000,0.568923,0.000000,0.323269,0.000000,0.000000,0.000000,0.000000
gene5304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5308,0.000000,0.000000,0.049043,0.000000,0.000000,0.000000,0.265847,0.000000,0.000000,0.000000,0.164472,0.000000,0.000000,0.000000
gene5309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5317,0.000000,0.040137,1.070672,0.000000,0.000000,0.000000,1.934595,0.000000,0.000000,0.544950,1.111390,0.000000,0.000000,0.000000
gene5318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5339,44.262353,48.021477,38.765641,45.286591,24.932257,18.908372,28.445511,31.196656,27.825846,29.502482,33.691948,23.574573,32.514375,15.252241
gene5340,49.994054,53.707784,53.521773,68.175014,30.773402,38.534980,47.095393,42.891825,94.155031,76.955722,69.030477,50.528305,95.078187,30.417052
gene5341,0.000000,0.000000,1.358688,0.000000,0.000000,0.000000,0.000000,0.000000,0.200699,0.000000,0.000000,1.007651,6.931889,0.000000
gene5342,1.181378,0.664155,2.713801,0.920263,2.336570,1.361486,1.867570,0.079348,2.944773,1.601052,1.199369,0.818617,1.506511,31.344053
gene5343,18.987590,13.268958,29.878016,33.488276,28.079258,32.928758,32.076425,1.306996,32.852519,25.945776,25.893540,23.114426,1.519388,0.000000
gene5344,0.314340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.240761
gene5345,0.000000,0.234541,5.362610,3.853569,0.000000,0.000000,0.000000,0.000000,0.000000,0.318439,0.000000,0.000000,1.100707,0.828193
gene5346,29.103199,28.355441,24.717782,23.955275,47.913198,42.662498,20.601283,28.248439,35.151144,31.677988,34.215820,40.916806,72.316683,17.138988
gene5347,0.670883,0.000000,0.000000,0.385094,0.000000,0.000000,0.000000,0.000000,0.000000,0.286390,0.000000,0.000000,0.000000,0.000000
gene5348,0.000000,0.000000,0.000000,0.536234,0.000000,0.779729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.068641
gene5349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.098844
gene5350,0.275369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5351,17.870857,16.735875,14.629297,8.459435,9.388479,10.529505,19.740719,14.039987,17.699445,15.473099,16.245192,8.744114,0.000000,0.000000
gene5352,0.576266,0.500638,0.381572,0.470022,2.581318,0.000000,0.689469,0.000000,0.648186,0.116527,0.091405,2.870301,5.907368,0.000000
gene5353,3.483753,3.742886,2.136459,1.064844,1.148347,0.180653,2.744686,0.000000,0.670397,1.993159,1.221775,0.947937,0.000000,0.000000
gene5354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066968,0.000000
gene5355,136.116199,154.262694,148.432857,146.026783,177.198947,155.099773,161.142800,204.114547,188.099803,173.625260,171.316631,183.715074,135.718389,32.009370
gene5356,0.169135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5357,31.195320,37.242260,48.011633,35.835738,38.534146,40.015745,27.005314,35.245034,33.223059,34.700983,31.364977,20.026003,11.071137,6.194349
gene5358,0.938571,0.442652,0.000000,3.232386,1.452319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.232126,0.000000
gene5359,0.117320,0.774625,0.000000,0.808073,0.363077,0.000000,0.761969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5360,0.000000,0.382415,0.000000,2.792443,3.690468,0.000000,0.000000,0.000000,0.000000,0.580309,0.383327,9.155106,0.000000,0.000000
gene5361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5362,0.000000,0.000000,0.465084,0.000000,4.871959,3.293738,0.000000,0.000000,0.000000,1.353232,1.256456,0.373667,0.000000,0.000000
gene5363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5364,52.294080,48.441187,40.925670,47.016418,27.331560,31.457438,26.071134,29.284073,32.386442,39.348267,41.240605,31.858713,10.289436,55.781885
gene5365,0.000000,0.000000,0.000000,0.000000,0.000000,0.842653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5366,23.566543,8.998667,23.552342,22.810526,34.900817,18.876372,31.766167,14.884403,30.899958,26.610141,28.024065,32.553867,20.064160,0.000000
gene5367,3.331782,2.095093,0.499002,0.478086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740157,0.000000,0.000000
gene5368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5369,5.790500,6.695505,5.423598,5.963826,9.703239,2.698599,3.897722,1.512617,7.274048,4.272479,4.242116,4.845089,3.534746,10.905698
gene5370,21.353157,19.931923,21.237532,11.302222,13.028320,8.044199,7.105260,11.422715,12.661129,13.477996,11.629463,10.225541,7.968810,0.084078
gene5371,32.902321,48.383705,58.612504,51.880569,52.260362,44.459989,57.696403,42.070823,61.182413,48.926301,54.457452,54.833119,52.534556,0.000000
gene5372,16.778048,19.198242,21.667394,20.175881,51.318128,43.271224,33.783906,29.447047,27.817658,29.683977,29.988610,28.233146,30.372814,0.000000
gene5373,0.000000,0.000000,0.023663,1.428268,0.000000,0.000000,0.000000,0.000000,0.036702,0.000000,0.000000,0.000000,2.098155,0.000000
gene5374,2.062531,0.928317,5.424464,6.528166,2.251347,1.328591,1.806529,1.870957,0.063617,4.838107,4.969238,1.905020,40.763057,0.127638
gene5375,0.182393,0.315403,0.036423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5376,198.437322,126.043204,141.083646,171.600895,66.181468,122.169220,107.831081,153.839140,120.687570,92.933890,127.532437,133.015811,118.924675,359.117190
gene5377,63.039398,96.553389,70.698542,71.434477,87.963661,103.243231,145.852564,82.354692,84.718556,126.772124,125.331888,103.012891,178.189145,465.283195
gene5378,0.000000,0.000000,0.000000,0.293194,0.000000,0.000000,0.000000,0.255840,0.000000,0.000000,0.000000,0.000000,1.507481,0.000000
gene5379,0.000000,5.616482,3.114291,2.929444,0.146258,3.194910,3.069424,0.000000,1.141708,1.392005,3.228243,0.000000,0.000000,0.000000
gene5380,6.801954,3.143672,2.312326,6.330081,2.968033,4.046621,3.633488,2.348199,2.970369,7.126494,6.089648,1.862195,3.956960,13.190480
gene5381,1.180651,1.484825,1.630179,1.568271,3.236347,1.520345,0.000000,0.025342,0.000000,1.756816,2.394675,0.014988,0.000000,0.000000
gene5382,11.763500,10.260896,11.399398,11.873992,4.051455,5.493898,8.143284,6.108636,3.974688,7.414462,7.519990,2.236436,5.305203,0.000000
gene5383,0.903336,1.052530,2.928706,4.391829,0.000000,0.399151,0.345127,0.119759,0.000000,0.068051,0.640560,0.000000,0.000000,0.000000
gene5384,11.095370,8.496756,6.730729,7.307976,14.599883,4.526660,10.179708,14.968841,6.863501,4.709974,4.505180,10.031758,3.606335,0.000000
gene5385,52.601079,45.241787,36.187225,33.581428,34.370556,22.668630,19.217011,37.685385,16.669612,36.023627,28.759717,14.983397,19.507459,0.031075
gene5386,0.239200,0.000000,0.061415,0.000000,0.264389,0.000000,2.385887,0.000000,0.158758,0.000000,0.000000,0.000000,7.941335,0.000000
gene5387,2.007466,1.543434,1.313809,5.925648,0.000000,1.520618,0.821751,0.000000,0.658344,1.685117,1.186254,0.359767,0.000000,0.000000
gene5388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5391,1.527576,2.071287,2.402205,2.137280,0.000000,0.478119,0.930101,1.291091,1.419323,1.222687,0.575429,7.380851,5.916865,0.000000
gene5392,21.431179,28.204265,26.664675,22.550549,27.815409,32.294053,50.128053,47.359744,30.624491,44.376812,44.523350,43.327397,61.797734,0.000000
gene5393,1.216223,9.629289,4.371720,3.934550,21.329515,5.444620,9.335598,1.744324,12.328347,5.711091,4.516871,8.645927,35.728474,0.000000
gene5394,13.561420,6.519244,13.738543,14.650631,4.329938,4.660961,2.618284,0.881825,13.436934,8.226286,9.932356,0.865103,0.000000,0.000000
gene5395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5396,24.525026,30.897970,25.091442,22.112507,12.079877,16.311017,22.193223,15.262298,7.674488,14.859635,16.246212,17.330253,4.465786,0.000000
gene5397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5398,0.000000,0.000000,0.000000,0.000000,0.000000,1.216739,0.000000,0.000000,0.000000,0.233371,0.366118,0.000000,0.000000,0.000000
gene5399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5400,0.000000,0.000000,0.190395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236993
gene5401,6.459845,0.000000,1.172724,0.000000,0.000000,0.000000,0.127141,7.941258,0.000000,0.401109,0.393294,0.000000,0.000000,0.000000
gene5402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5404,6.447586,3.332222,4.553392,9.227842,8.107340,4.827058,3.564636,12.203003,0.428542,5.847357,3.891776,5.335920,8.002895,0.000000
gene5405,8.541984,7.029822,13.863783,5.566890,4.002291,7.754301,4.199686,0.076700,1.770827,1.394663,3.692219,6.758820,12.804865,0.000000
gene5406,27.026304,26.816130,31.929162,30.822661,16.795336,23.864014,26.391695,22.088581,15.052439,29.978235,40.521151,29.365832,49.837893,0.322136
gene5407,897.165283,839.305849,886.435261,670.291886,589.732223,1131.936691,1125.978387,1255.457453,976.578045,860.177310,1027.052717,1044.395018,1177.201548,0.000000
gene5408,4.974519,5.172742,3.379505,7.116520,8.266036,12.424036,4.964620,6.617458,10.640071,8.020520,8.190588,2.078504,8.208246,90.040793
gene5409,193.249038,281.914237,233.845915,280.812528,203.461034,236.180026,198.120591,186.611703,194.696931,210.587020,280.144991,265.011154,27.974357,583.213216
gene5410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5411,31.071836,45.878433,32.633734,44.608825,24.842869,25.593784,33.091238,43.049326,23.657477,28.591954,33.009222,37.761748,33.862420,15.905061
gene5412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5413,0.000000,0.005814,0.066471,0.944645,0.000000,0.370426,0.060054,0.000000,0.011455,0.031577,0.024769,0.000000,0.000000,0.000000
gene5414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5415,0.467937,0.088274,0.224267,0.886308,0.000000,0.000000,0.000000,0.949159,0.000000,0.059927,0.094015,0.000000,0.000000,0.000000
gene5416,84.792059,98.430532,120.183638,163.300206,128.278539,192.669782,118.303992,123.328193,127.973209,115.472699,123.401993,136.455264,292.593713,80.752830
gene5417,30.610102,43.900143,40.646030,28.914881,16.668937,44.553387,47.756993,31.586413,48.343022,43.570908,40.792052,36.853777,5.305120,0.000000
gene5418,0.000000,0.277976,0.516084,1.886686,0.140320,0.000000,2.061366,0.000000,0.000000,0.338712,0.880571,0.020145,0.000000,0.000000
gene5419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.099115,0.000000,0.000000,0.000000,0.000000,0.000000,1.334007,0.000000
gene5420,14.967387,15.685053,14.022462,18.659936,16.750702,17.980594,13.336817,17.174205,11.337666,11.780581,12.066662,19.855179,63.995706,0.000000
gene5421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.088857,0.496577,1.278230,0.000000,0.000000
gene5422,0.000000,0.160569,0.131123,0.314060,0.000000,0.000000,0.000000,0.000000,0.225970,0.482740,0.122151,0.713131,2.745102,0.000000
gene5423,1.656398,0.102451,2.375050,0.093514,0.000000,0.000000,0.000000,0.000000,0.000000,0.069550,0.000000,0.000000,0.000000,0.000000
gene5424,0.053403,1.939309,1.341847,4.919620,0.000000,0.000000,0.000000,0.105169,0.000000,2.804056,0.911996,0.000000,8.155689,0.000000
gene5425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410626,0.000000
gene5427,0.000000,0.332410,0.097444,0.000000,1.677977,0.067878,0.000000,0.000000,0.000000,0.000000,0.000000,0.036134,13.680178,0.000000
gene5428,5.736482,0.852812,3.915994,3.039026,1.245773,1.380040,2.038816,3.014726,0.195644,2.395117,4.267644,2.978077,1.836671,0.000000
gene5429,0.149404,4.635570,3.288391,10.220784,0.000000,0.000000,0.242595,0.000000,0.474450,5.261747,5.514095,0.597425,0.000000,0.000000
gene5430,27.832150,41.117545,32.687533,30.148245,21.867680,1.739221,26.198917,30.283923,25.015546,41.931803,28.118671,31.414872,16.573221,127.956597
gene5431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.660613,0.070342
gene5432,15.761857,17.339386,29.795051,15.975268,8.912868,6.131492,10.472508,4.780521,22.016619,21.289850,17.981954,12.826112,0.000000,0.000000
gene5433,14.007638,24.848293,11.396089,13.300938,31.397958,11.979994,22.276327,28.972018,14.675767,27.240715,30.111394,27.276269,18.882787,0.000000
gene5434,0.000000,0.000000,0.661321,0.000000,0.000000,0.000000,3.421910,0.000000,0.000000,1.349448,3.125154,0.000000,0.000000,0.756311
gene5435,24.984373,29.272414,17.182695,10.899743,26.655614,17.147423,20.602497,7.038615,18.192134,5.398517,10.579616,20.104295,19.403904,7.226810
gene5436,1.448812,2.293378,7.656956,3.371535,6.637000,9.266736,8.361866,2.069090,11.049638,2.985234,3.285519,7.552441,9.429493,0.000000
gene5437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene5438,241.224998,252.839734,245.647902,255.076621,114.984871,117.754057,129.531151,130.789397,114.178591,136.200583,166.886416,145.890322,83.567482,0.000000
gene5439,0.000000,1.872507,2.378625,0.297245,0.000000,0.000000,7.007589,17.702330,4.491294,0.000000,0.000000,6.327653,0.000000,0.000000
gene5440,0.050139,1.064076,0.075093,0.237417,0.349137,0.000000,0.244238,4.915559,1.048236,0.722373,1.636950,0.000000,4.882796,0.000000
gene5441,137.522323,196.913881,176.782750,167.196337,132.129081,177.496241,103.496114,140.390397,186.947351,168.675472,129.894817,97.544623,88.232870,0.797158
gene5442,0.330995,0.948172,1.619402,0.886567,0.341461,0.698322,2.199575,0.006907,1.907990,1.872195,1.674849,1.205091,3.011774,0.000000
